 Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
1.441745693,92.66666667,0.052018397,0,0.192889635
0.975079027,93,0,0,-0.328944977
0.641745693,93,0,0,-0.637969539
0.30841236,93,0,0,-0.973257044
-0.024920973,93,0,0,-1.30533079
-0.358254307,93,0,0,-1.637725816
-0.69158764,93,0,0,-1.969989583
-1.024920973,93,0,0,-2.302180492
-0.49158764,93.33333333,0,0,-1.698030551
0.041745693,93.66666667,0,0,-1.177623579
0.575079027,94,0,0,-0.649799938
1.10841236,94.33333333,0,0,-0.122194778
1.641745693,94.66666667,0,0,0.405822323
2.175079027,95,0,0,0.93424449
1.80841236,94.66666667,0,0,0.489400749
1.441745693,94.33333333,0,0,0.147724459
1.075079027,94,0,0,-0.226574161
0.70841236,93.66666667,0,0,-0.586766501
0.341745693,93.33333333,0,0,-0.950006408
-0.024920973,93,0,0,-1.312761705
-0.024920973,93,0,0,-1.268429426
-0.024920973,93,0,0,-1.233922355
-0.024920973,93,0,0,-1.263625676
-0.024920973,93,0,0,-1.256120642
-0.024920973,93,0,4.50173626,-0.462617258
-0.024920973,93,0,5.558687935,-0.308448388
0.425079027,93.5,0.052018397,7.021090903,0.517610998
0.875079027,94,0.104036794,8.129442012,1.210726362
1.325079027,94.5,0.156055191,9.54784024,2.002455356
1.775079027,95,0.208073588,18.44870828,4.031730441
2.225079027,95.5,0.260091985,27.92294998,5.631070264
2.675079027,96,0.312110381,37.58839364,7.308075687
2.55841236,95.5,0.260091985,47.38912257,8.259794329
2.441745693,95,0.208073588,57.31910531,9.32559531
2.325079027,94.5,0.156055191,67.66272753,10.42451262
2.20841236,94,0.104036794,81.60249717,12.00420463
2.091745693,93.5,0.052018397,95.88743206,13.53870547
1.975079027,93,0,110.5126278,15.42171113
2.641745693,92,0,125.4712733,17.6661997
3.30841236,91,0,140.7550121,19.81853758
3.975079027,90,0,170.8252879,23.76153217
4.641745693,89,0,184.7741517,25.21601964
5.30841236,88,0,199.0553284,27.25503744
5.975079027,87,0,213.6233638,29.15491035
